id,title,price,currency,square footage,rooms,floor,district
66928981,Zabytkowy apartament 150 M od Rynku Głównego,3770950.0,PLN,142.3,FOUR,FIRST,Stare Miasto
67859896,2 Pokoje Z Osobną Kuchnią Z Balkonem! Do Remontu!,629000.0,PLN,50.2,TWO,FOURTH,Czyżyny
67859897,1 Pokojowe Z Balkonem! Pod Inwestycje!,497900.0,PLN,31.0,ONE,FIRST,Dębniki
67848483,3 pok- 2 str świata| do wejścia| RĘKOJMIA|Bez prowizji!!,970000.0,PLN,52.48,THREE,FOURTH,Łagiewniki-Borek Fałęcki
67847996,Komfortowe 3 pok+ kuchnia|Wyposażone|5 lat rękojmi|Bez prowizji!,1190000.0,PLN,63.48,THREE,SECOND,Łagiewniki-Borek Fałęcki
67848344,Przestronne| Nowoczesne osiedle| GOTOWE DO WEJŚCIA| 0% prowizji,1181000.0,PLN,64.02,THREE,THIRD,Łagiewniki-Borek Fałęcki
66833397,Apartament na Placu Matejki | 94 m2 | 4 pokoje |,2990000.0,PLN,94.0,FOUR,SECOND,Stare Miasto
66291970,Nowe Branice | mieszkanie 3-pok. | M16,566801.0,PLN,44.63,THREE,THIRD,Nowa Huta
67678380,Fajne mieszkanie dla rodziny lub pary- rejon Lasu Wolskiego,1099000.0,PLN,69.0,THREE,SECOND,Zwierzyniec
67800878,Dwupokojowe mieszkanie z balkonem i garażem w Krakowie,895000.0,PLN,53.84,TWO,SIXTH,Prądnik Czerwony
66645243,Faktoria Młyn | lokal inwestycyjny B1.B2.P3.L​U.8,638597.0,PLN,42.98,ONE,THIRD,Bieńczyce
67567372,2-pokojowe mieszkanie 38m2 + balkon Bezpośrednio,571830.0,PLN,38.9,TWO,FIRST,Prądnik Biały
67859820,Mieszkanie na sprzedaż/ Wzgórza Krzesławickie,700000.0,PLN,54.7,TWO,SECOND,Wzgórza Krzesławickie
67758079,"Urządzona kawalerka 35m2, 5 piętro z windą, klimatyzacja",510000.0,PLN,34.69,ONE,FIFTH,Podgórze Duchackie
66420645,2-pokojowe mieszkanie 36m2 + balkon,,,36.88,TWO,THIRD,Czyżyny
66819883,2-pokojowe mieszkanie 39m2 Bez Pośredników,634839.0,PLN,39.61,TWO,FIRST,Bieńczyce
67330593,3-pokojowe mieszkanie 85m2 + 2 tarasy Bez Prowizji,990265.0,PLN,85.88,THREE,THIRD,Dębniki
66302551,2-pokojowe mieszkanie 36m2 + ogródek Bez Prowizji,719000.0,PLN,36.44,TWO,GROUND,Prądnik Biały
66349029,1-pokojowe mieszkanie 26m2 + ogródek,470000.0,PLN,26.34,ONE,GROUND,Podgórze Duchackie
67333807,2-pokojowe mieszkanie 33m2 + ogródek,469177.0,PLN,33.57,TWO,GROUND,Wzgórza Krzesławickie
66351996,1-pokojowe mieszkanie 39m2 + ogródek Bezpośrednio,652701.0,PLN,39.54,ONE,GROUND,Mistrzejowice
66302579,4-pokojowe mieszkanie 99m2 + 2 ogródki,1238000.0,PLN,99.44,FOUR,GROUND,Podgórze Duchackie
66344008,3-pokojowe mieszkanie 59m2 + ogródek Bezpośrednio,,,59.12,THREE,GROUND,Bieżanów-Prokocim
66760187,1-pokojowe mieszkanie 33m2 + loggia Bez Prowizji,731700.0,PLN,33.78,ONE,ABOVE_TENTH,Prądnik Czerwony
66344910,2-pokojowe mieszkanie 38m2 + balkon Bez Prowizji,638385.0,PLN,38.69,TWO,FIFTH,Prądnik Biały
66348847,1-pokojowe mieszkanie 34m2 + ogródek,658000.0,PLN,34.65,ONE,GROUND,Łagiewniki-Borek Fałęcki
66324841,2-pokojowe mieszkanie 44m2 + ogródek,637580.0,PLN,44.9,TWO,GROUND,Bieżanów-Prokocim
67805499,Zielony Ruczaj  | Duży balkon | Klimatyzacja | Hit,845000.0,PLN,58.35,THREE,THIRD,Dębniki
66904519,2-pokojowe mieszkanie 32m2 + balkon Bezpośrednio,758845.0,PLN,32.84,TWO,THIRD,Podgórze
66338700,Wiślane Klimaty,,,,,,Podgórze
67183104,Kordiana 46,,,,,,Podgórze Duchackie
67859786,Gotowe 2 pokoje| Zabłocie| Bez Pcc |ogródek,876482.0,PLN,49.45,TWO,FIRST,Podgórze
67617688,"Po remoncie. Zadbana kamienica. Atrakcyjna lokalizacja, park uczelnie",899000.0,PLN,64.0,THREE,THIRD,Stare Miasto
67750436,"3-POKOJE-53,40M2-MISTRZEJOWICE-OS.PIASTÓW-BALKON-GARAŻ-2022",850000.0,PLN,53.4,THREE,FIRST,Mistrzejowice
67799962,Studio z dużym balkonem | okolice Tauron Areny,715000.0,PLN,29.07,ONE,THIRD,Grzegórzki
66193156,ul. Stawowa,,,,,,Prądnik Biały
67859648,"Kawalerka 31,29 m² + balkon 7,2 m²| osobna kuchnia",430000.0,PLN,31.29,ONE,THIRD,Prądnik Czerwony
96765339700067,Nowoczesne i słoneczne mieszkanie po remoncie,815000.0,PLN,52.32,THREE,SECOND,Zwierzyniec
67859641,3 pokoje | Ruczaj | ul.J.Kantego Federowicza,790000.0,PLN,54.85,THREE,FIRST,Dębniki
66339669,2-pokojowe mieszkanie 43m2 + loggia,764872.0,PLN,43.49,TWO,FIRST,Podgórze
66420018,Wrocławska | 4 pokoje | 2 balkony | winda | PREMIUM,1449000.0,PLN,72.0,FOUR,SECOND,Krowodrza
67859473,3 Pokoje W Stanie Deweloperskim Z Dwoma Ogrodami!,739000.0,PLN,49.24,THREE,GROUND,Podgórze Duchackie
61768475,Ciche i dwupoziomowe mieszkanie | ul.Grzegórzecka,1250000.0,PLN,92.0,FOUR,FIRST,Grzegórzki
67852194,3 pokoje + ogród 20 m2 + miejsce parkingowe,840300.0,PLN,52.28,THREE,GROUND,Podgórze
67828128,"Gotowe 3 pokoje z ogródkiem, parter, Przewóz 44",999679.0,PLN,62.48,THREE,GROUND,Podgórze
66969929,2-pokojowe mieszkanie 38m2 Bezpośrednio,616122.0,PLN,38.46,TWO,THIRD,Bieżanów-Prokocim
67767224,Top lokalizacja | widok na Wawel parking,979000.0,PLN,57.0,THREE,THIRD,Stare Miasto
67843119,Zabłocie | mieszkanie z 12 m2 tarasem blisko Wisły,1099000.0,PLN,58.7,TWO,FIRST,Podgórze
67842941,Dwa pokoje w gotowej inwestycji przy tramwaju - Bezpośrednio,597014.69,PLN,35.16,TWO,SECOND,Prądnik Biały
67859351,Gotowe 3 pokoje| Zabłocie| Bez Pcc i prowizji,1408873.0,PLN,79.98,THREE,FIRST,Podgórze
67204994,Trzypokojowe mieszkanie w świetnej lokalizacji,899000.0,PLN,47.22,THREE,FOURTH,Krowodrza
67588008,"96,2 m2 - nieruchomość w stanie surowym - ul. Kazimierza Wielkiego",1250000.0,PLN,96.2,ONE,THIRD,Krowodrza
67474927,2 pokoje - osobna kuchnia - 52 m2 - ul. Kazimierza Wielkiego,850000.0,PLN,52.0,TWO,FIRST,Krowodrza
67807763,"2 BALKONY | 55,5 m² | KLIMATYZACJA | CEGŁA | Nowa Huta",689000.0,PLN,55.5,TWO,FOURTH,Nowa Huta
67639471,2 pokoje - 40 m2 - osobna kuchnia - ul. Racławicka - Krowodrza,689000.0,PLN,40.9,TWO,FOURTH,Krowodrza
67660808,Jednopokojowe mieszkanie w kamienicy - ul. Bytomska,580000.0,PLN,38.0,ONE,GROUND,Krowodrza
67694965,Inwestycyjne mieszkanie 86 m2 - 4 pokoje - ul. Kazimierza Wielkiego,999000.0,PLN,86.37,FOUR,SECOND,Krowodrza
67839737,4-pokojowe mieszkanie 91m2 + ogródek Bez Prowizji,1725948.0,PLN,91.32,FOUR,GROUND,Zwierzyniec
66993087,3-pokojowe mieszkanie 50m2 + balkon Bez Prowizji,790000.0,PLN,50.0,THREE,SECOND,Łagiewniki-Borek Fałęcki
67183565,4-pokojowe mieszkanie 73m2 + taras Bezpośrednio,823200.0,PLN,73.5,FOUR,GROUND,Dębniki
67552241,4 pokoje | przestrzenne | po remoncie | świetna lokalizacja,850000.0,PLN,65.0,FOUR,GROUND,Prądnik Biały
67851954,Świetna lokalizacja|Wysoki standard|1 pokojowe|Ogródek|Nowe bud.,595000.0,PLN,30.0,ONE,FIRST,Krowodrza
67859064,Kraków – Dwupokojowe mieszkanie w wysokim standardzie,649000.0,PLN,34.35,TWO,THIRD,Czyżyny
67859063,"Salwator - studio, balkon, komórka lok.",846780.0,PLN,38.49,ONE,THIRD,Zwierzyniec
67859049,Jasne 2-pokojowe mieszkanie z dużym balkonem,720000.0,PLN,45.17,TWO,SECOND,Swoszowice
67810836,"Os. Widok - Top lokalizacja, wszystko na miejscu",845000.0,PLN,55.57,THREE,FIRST,Bronowice
66349028,2-pokojowe mieszkanie 45m2 + balkon Bezpośrednio,772000.0,PLN,45.91,TWO,FIRST,Podgórze Duchackie
67827138,"Stara Krowodrza | 66,9 m² | 4 pokoje | obok Nowego Kleparza | ENG",765000.0,PLN,66.9,FOUR,FIFTH,Krowodrza
67495460,"Mieszkanie, Plac Bohaterów Getta, Kraków",1299000.0,PLN,54.24,TWO,FIRST,Podgórze
67827384,2 pokojowe - osobna kuchnia - 41 m2 - idealne pod wynajem,649000.0,PLN,41.0,TWO,GROUND,Krowodrza
66420734,2-pokojowe mieszkanie 38m2 + balkon Bez Prowizji,,,38.11,TWO,FIFTH,Czyżyny
66344102,3-pokojowe mieszkanie 56m2 + balkon,,,56.27,THREE,FOURTH,Bieżanów-Prokocim
66296840,2-pokojowe mieszkanie 42m2 + balkon Bezpośrednio,,,42.6,TWO,FIFTH,Podgórze
67349369,"Mieszkanie na Starym Podgórzu, w pobliżu Kopca",580000.0,PLN,33.0,TWO,SECOND,Podgórze
67793193,Mistrzjowice Os. Złotego Wieku⭐3 pokoje + balkon Tramwaj 300m / Planty,579000.0,PLN,47.9,THREE,FIRST,Mistrzejowice
67827838,Nowe | Wykończone | 2 pokoje | Balkon | Garaż | Bez Prowizji | Bez PCC,755000.0,PLN,42.05,TWO,FIRST,Podgórze
67858990,Nowe 3  pokoje/56.75 /południe/ widok/ bez Pcc,774583.02,PLN,56.75,THREE,SIXTH,Czyżyny
67858988,2  pokoje/40 m2 /Czyżyny/ widok/ bez Pcc,590129.9,PLN,40.01,TWO,SIXTH,Czyżyny
67858987,Nowe 4 pokoje/81 m2// bez Pcc i prowizji/jasne,1030495.11,PLN,81.79,FOUR,THIRD,Czyżyny
67858989,Podgórze/ 3 pokoje/bez Pcc/ 7 piętro/gotowe,827145.0,PLN,61.27,THREE,SEVENTH,Podgórze
67635494,Kraków – Bieżanów – ul. Barbary - 3 pokojowe,666000.0,PLN,61.36,THREE,FIRST,Bieżanów-Prokocim
67858958,"Na sprzedaż mieszkanie 2 pokoje, Wola Justowaska",565000.0,PLN,35.6,TWO,GROUND,Zwierzyniec
67794836,Trzypokojowe mieszkanie w stanie do wejścia,699000.0,PLN,61.7,THREE,FOURTH,Bieżanów-Prokocim
67858935,Słoneczna kawalerka z potencjałem 2 pokoi 8 piętro,549000.0,PLN,37.0,ONE,EIGHTH,Prądnik Biały
67858922,2-pok. mieszkanie na os. Kalinowe,480000.0,PLN,36.15,TWO,TENTH,Bieńczyce
67630362,"2 pok. z balkonem, Wrocławska dla pary, studenta",870000.0,PLN,52.0,TWO,FIRST,Krowodrza
96785964100067,3 pokoje | Ruczaj | ul.J.Kantego Federowicza,790000.0,PLN,54.85,THREE,FIRST,Dębniki
67858874,Zabłocie - Centrum Nowoczesnego Krakowa,995000.0,PLN,63.0,THREE,THIRD,Podgórze
67858866,l Ruczaj l 31 m² | Balkon | Gotowe do wejścia |,497900.0,PLN,31.2,ONE,FIRST,Dębniki
67858867,2 pokoje | gotowe do zamieszkania | Kurdwanów,582000.0,PLN,38.6,TWO,SECOND,Podgórze Duchackie
67858865,28 m² | centrum | po remoncie,595000.0,PLN,28.0,TWO,SECOND,Stare Miasto
67767080,Kawalerka w stanie do wejścia blisko przystanku,574000.0,PLN,36.36,ONE,SECOND,Prądnik Czerwony
67828968,Kraków – Olsza – ul. Ułanów,519000.0,PLN,36.48,ONE,GROUND,Prądnik Czerwony
67701243,"Apartament premium, ul. Emaus, przy Rudawie",2127947.5,PLN,88.35,FOUR,GROUND,Zwierzyniec
67807645,Apartament -  taras na dachu 115 m2 Wola Justowska,1909467.0,PLN,101.03,FOUR,FIRST,Zwierzyniec
67858792,ul. Piltza | Na sprzedaż 2-pokojowe mieszkanie z d,799000.0,PLN,49.7,TWO,SECOND,Dębniki
67198971,3-pokojowe mieszkanie 58m2 + 2 loggie,1016400.0,PLN,58.08,THREE,SECOND,Bieżanów-Prokocim
67858791,"Taras. Mieszkanie 3-pok., ul. Federowicza",943000.0,PLN,62.19,THREE,THIRD,Dębniki
67858790,"Mieszkanie 2 pokojowe z tarasem, ul. Federowicza",566000.0,PLN,32.94,TWO,ABOVE_TENTH,Dębniki
67858787,"Gotowe mieszkanie 2-pok. z ogródkiem , ul. Federo",647000.0,PLN,42.37,TWO,GROUND,Dębniki
67858782,"Mieszkanie 3-pok. z balkonem, ul. Federowicza",845000.0,PLN,57.15,THREE,SECOND,Dębniki
67693625,Nowa Huta Klasztorna⭐2 poziomowe z 2002r. PARKING /Zalew /Tramwaj 2min,689000.0,PLN,49.6,THREE,SECOND,Nowa Huta
67858753,Penthouse w zabytkowej Kamienicy w Rynku,6600000.0,PLN,148.01,THREE,THIRD,Stare Miasto
67791250,"3 pokoje 68m, ul. Józefitów (Krowodrza) bezpośrednio",1187000.0,PLN,68.0,THREE,FIRST,Krowodrza
67847493,Nowe 4 pokoje | 73 m² | 2 MP + KL| Ruczaj | Bez PCC | Bez Prowizji,1023000.0,PLN,73.14,FOUR,FIRST,Dębniki
